Patent_Code,Patent_Number,Patent_ID,Status,Classes,Title,Organization
EP,2019-734003,3811052,Neúčinný EP od počátku,"G01N15/02, G01N15/14, G01N21/65, B01L3/00, G01N15/10",EN: SINGLE PARTICLE AUTOMATED RAMAN TRAPPING ANALYSIS,"Imperial College Innovations Limited, London SW7 2AZ, Velká Británie"
EP,2019-734194,3801253,Neúčinný EP od počátku,A61B5/145,EN: ANALYTE MONITORING SYSTEMS,"Abbott Diabetes Care Inc., Alameda, CA 94502, Spojené státy americké"
EP,2019-734196,3801255,Neúčinný EP od počátku,A61B5/145,EN: METHOD FOR ASSEMBLING A SYSTEM FOR MEASUREMENT OF A GLUCOSE LEVEL,"Abbott Diabetes Care Inc., Alameda, CA 94502, Spojené státy americké"
EP,2019-734822,3820526,Zveřejněná přihláška,"A61K45/06, A61K31/195, A61K31/216, A61K31/427, A61K31/4439, A61P1/16, A61P11/00, A61P27/00, A61P9/00, A61P17/00, A61P13/12, A61K31/155, A61K31/415, A61K31/44, A61K31/519",EN: COMBINATIONS OF PPAR AGONISTS AND P38 KINASE INHIBITORS FOR PREVENTING OR TREATING FIBROTIC DISEASES,"Kinarus AG, 4057 Basel, Švýcarsko"
EP,2019-736628,3815183,Neúčinný EP od počátku,"H01Q23/00, H01Q1/38, H01Q1/27, H01Q1/22, H01Q1/24, A61B5/00, H05K1/16, H05K1/02, H05K1/18",EN: PRINTED CIRCUIT FOR DATA COMMUNICATION,"Centre national de la recherche scientifique, 75016 Paris, FrancieUNIVERSITE DE MONTPELLIER, 34090 Montpellier, FrancieBonetag, 66000 Perpignan, Francie"
EP,2019-750147,3834020,Neúčinný EP od počátku,G02B6/02,EN: HOLLOW CORE OPTICAL FIBRE,"University of Southampton, Southampton, Hampshire SO17 1BJ, Velká Británie"
EP,2019-760951,3759471,Platný dokument,"G01N21/87, G01N23/046, G01N21/47, G01B11/24, G01N21/88, G01B9/02015, G01B9/02, G01B15/04, G01N33/38, G01B9/02091","EN: A METHOD AND SYSTEM FOR DETERMINING THE LOCATION OF ARTEFACTS AND/OR INCLUSIONS IN A GEMSTONE, MINERAL, OR SAMPLE THEREOF","Australian National University, Acton, ACT 2601, Austrálie"
EP,2019-774100,3863948,Platný dokument,"B65G1/04, B65G21/00, B66C7/14, B65G1/06, E01B11/02","EN: EXPANSION JOINT, SYSTEM AND METHOD FOR CONNECTING REGIONS OF A RAIL-BASED GRID STORAGE SYSTEM","Autostore Technology AS, 5578 Nedre Vats, Norsko"
EP,2019-809593,3883434,Platný dokument,A47J27/21,EN: LIQUID HEATING VESSELS,"Different Kettle of Fish Limited, Douglas Isle of Man IM1 1AQ, Velká Británie"
PV,2020-247,308602,Platný dokument,"E01D11/02, E01D22/00, E01D101/32",CS: Zesílení visutého pásu externím předpětímEN: Reinforcement of a suspended belt by external pre-stressing,"Vysoké učení technické v Brně, Brno, Veveří, Česká republika"
PV,2020-291,309006,Platný dokument,C02F1/42,CS: Vodní ionizační reaktorEN: Water ionization reactor,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika"
PV,2020-304,308867,Platný dokument,"C02F1/46, C02F1/42, C02F1/58, C02F5/00",CS: Zařízení pro fyzikální úpravu vodyEN: Equipment for physically treating water,"Swiss Aqua Technologies AG, 9444 Diepoldsau, Švýcarsko"
PV,2020-308,308868,Platný dokument,"B05B1/18, B26B21/14, B05B1/34",CS: Kombinované zařízení pro sprchování a ošetřování pokožkyEN: Combined equipment for showering and skin care,"Swiss Aqua Technologies AG, Diepoldsau 9444, Švýcarsko"
PV,2020-372,309092,Platný dokument,B64C39/02,CS: Komunikační jednotka létající základny dronůEN: Drone flying base communication unit,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika"
PV,2020-373,309195,Platný dokument,"B64C39/02, B64D47/00, B64D47/08",CS: Dron pro shromažďování a předávání informacíEN: Drone for collecting and transmitting information,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika"
PV,2020-374,309093,Platný dokument,B64C39/02,CS: Létající dronová základnaEN: Flying drone base,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika"
PV,2020-389,309071,Platný dokument,"B29C48/30, B29C64/209","CS: Vytlačovací hlava s inertní výstupní štěrbinou, zejména pro vysoké výstupní rychlosti polymerních taveninEN: Extrusion head with inert outlet slit, especially for high outlet velocities of polymer melts","Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika"
PV,2020-669,309233,Platný dokument,"B61K9/12, B61L1/06",CS: Systém pro rozpoznání a klasifikace plochých kol v kolejové dopravěEN: System for recognising and classifting flat wheels in rail transport,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika"
PUV,2020-37242,33997,Zaniklý dokument,"C12C12/00, C12C1/18",CS: Pivo chmelené chmelo-sladovým preparátemEN: Beer with a hop-malt preparation,"Výzkumný ústav pivovarský a sladařský, a.s., Praha 2, Nové Město, Česká republikaChmelařský institut s.r.o., Žatec, Česká republika"
PUV,2020-37336,34076,Platný dokument,"B29C31/10, B29C43/36, B29C43/20, B29C43/30",CS: Zařízení pro plnění lisovací formy při výrobě vícepláštových trubekEN: Equipment for filling the mould when producing multilayer pipes,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika"
PUV,2020-37370,34024,Platný dokument,"A61L2/16, A01N25/06","CS: Desinfekční přípravek, zejména pro zubní kartáčkyEN: Disinfectant, especially for toothbrushes","BALSAMIS APOTHEKE s.r.o., Krnov, Pod Cvilínem, Česká republika"
PUV,2020-37392,34028,Platný dokument,"A62C99/00, A62C2/08",CS: Automatický ochlazovací a hasicí systémEN: Automatic cooling and extinguishing system,"MEGELLAN, SE, Praha 3, Žižkov, Česká republika"
PUV,2020-37495,34127,Platný dokument,E04H17/14,CS: ZábradlíEN: Railing,"MAF-OVA s.r.o., Ostrava, Hulváky, Česká republika"
PUV,2020-37620,34634,Platný dokument,"A62C13/20, A62C13/62, A62C13/68",CS: Hasící a ochlazovací prostředek pro umístění do chráněného zařízeníEN: Extinguishing and cooling agent for a protected facility,"MEGELLAN, SE, Praha 3, Žižkov, Česká republika"
PUV,2020-37655,34212,Platný dokument,C12C12/00,CS: Pivo s ovocným a kořenitým aromaEN: Beer with a fruity and spicy aroma,"Výzkumný ústav pivovarský a sladařský, a.s., Praha 2, Nové Město, Česká republika"
PUV,2020-37679,34340,Platný dokument,"E01C7/32, E01C3/00",CS: Konstrukční souvrství s propustnou pochůznou nebo pojezdovou plochouEN: Structural group of layers with a permeable walking or travelling surface,"DSK stavebniny s.r.o., Opatovice nad Labem, Česká republika"
PUV,2020-37754,34297,Platný dokument,"A01G20/20, A01G24/44",CS: Vegetační vrstva na bázi syntetických kompozitů pro ozelenění kolejového svrškuEN: Vegetation layer based on synthetic composites for greening a track surface,"BRENS EUROPE, a.s., Plzeň, Lobzy, Česká republika"
PUV,2020-37760,34299,Platný dokument,"G05B24/02, G05B15/02",CS: Mobilní zařízení pro širokospektrální skenování výskytu malých bezpilotních systémů a pro jejich převzetí nebo zarušení v rádiových pásmech ovládání řízeníEN: Mobile equipment for broad-spectrum scanning of the occurrence of small unmanned systems and their takeover or interference in radio control zones,"URC Systems, spol. s r.o., Prostějov, Vrahovice, Česká republika"
PUV,2020-38147,34777,Platný dokument,"C10L5/46, C10L5/48, C10L5/44, C02F11/13, C02F11/14",CS: Biopalivo na bázi biouhlu z kombinované hydrotermochemické úpravy bioodpadůEN: Biofuel based on biochar from combined hydrothermochemical treatment of biowaste,"Výzkumný ústav rostlinné výroby, v. v. i., Praha 6, Ruzyně, Česká republika"
EP,2020-152086,3685975,Neúčinný EP od počátku,B26D3/30,EN: DEVICE FOR MANUAL SLICING OF A BAKERY PRODUCT,"Seguin, Daniel, 70290 Champagney, Francie"
EP,2020-156452,3696011,Neúčinný EP od počátku,"B60L53/16, B60L53/18, B60L50/20",EN: CHARGING SYSTEM AND METHOD OF A BATTERY OF AN ELECTRIC VEHICLE,"Ferrari, Massimo, 25040 Monticelli Brusati, (BS), Itálie"
EP,2020-181886,3735896,Neúčinný EP od počátku,"A61B5/05, A61B5/15",EN: DERMAL LAYER ANALYTE SENSING DEVICES AND METHODS,"Abbott Diabetes Care, Inc., Alameda, CA 94502, Spojené státy americké"
EP,2020-207286,3822621,Neúčinný EP od počátku,G01N23/046,EN: DEVICE FOR NON DESTRUCTIVE TESTING,"RX-Solutions, 74650 Chavanod, Francie"
EP,2020-711487,3934509,Platný dokument,"A61B1/018, A61B1/00",EN: AN ENDOSCOPE,"National University of Ireland, Galway, Galway, Irsko"
EP,2020-717185,3959673,Platný dokument,"G06Q10/06, G06Q10/08, A62C3/00, B65G1/04",CS: Automatizovaný skladovací a vyhledávací systém se zařízením k detekci požáru a způsoby lokalizace a/nebo ověřování požáru nebo kouře v automatizovaném skladovacím a vyhledávacím systémuEN: AN AUTOMATED STORAGE AND RETRIEVAL SYSTEM WITH FIRE DETECTION DEVICE AND METHODS OF LOCATING AND/OR VERIFYING FIRE OR SMOKE IN AN AUTOMATED STORAGE AND RETRIEVAL SYSTEM,"AUTOSTORE TECHNOLOGY AS, 5578 Nedre Vats, Norsko"
EP,2020-733636,3987526,Platný dokument,"G16B25/10, C12Q1/6881, C12Q1/6886, G16B20/00",EN: IDENTIFICATION OF THE CELLULAR FUNCTION OF AN ACTIVE NFKB PATHWAY,"InnoSIGN B.V., 5656 AE Eindhoven, Nizozemsko"
EP,2020-775864,4034419,Platný dokument,"B60L53/64, B65G54/02, H02J3/00, B60L53/80, B60L53/53",EN: SYSTEM AND METHOD FOR POWER MANAGEMENT,"Autostore Technology AS, 5578 Nedre Vats, Norsko"
EP,2020-784149,3917384,Platný dokument,"A61B5/00, A61M21/02, A61M21/00",EN: DEVICES AND SYSTEMS FOR PROMOTING CONTINUOUS SLEEP OF A SUBJECT AND METHODS OF USING SAME,"Duke University, Durham, NC 27705, Spojené státy americké"
EP,2020-800923,4058384,Platný dokument,"B65G1/04, B65G1/06",CS: Vyprošťovací systém a způsoby pro odtažení nefunkčního vozíku z kolejnicového systémuEN: RESCUE SYSTEM AND METHODS FOR RETRIEVING A MALFUNCTIONING VEHICLE FROM A RAIL SYSTEM,"Autostore Technology AS, 5578 Nedre Vats, Norsko"
EP,2020-820474,4051412,Platný dokument,"B01D53/18, B01D45/04, B01D50/40, B01D45/12, B01D47/02",EN: DEVICE FOR FILTERING POLLUTED GAS BY ABSORPTION,"NANOTEC FILTER, SASU, 54000 Nancy, Francie"
EP,2020-821251,4081290,Platný dokument,A61N5/10,EN: PLANNING RADIATION THERAPY USING A PERSONALIZED HEMATOLOGIC RISK SCORE,"Elekta, Inc., Atlanta, GA 30346, Spojené státy americké"
EP,2020-837139,3985061,Platný dokument,"C08K7/02, C08J5/04, C08L1/02, C08L5/08, C08L67/02",EN: BIODEGRADABLE COMPOSITE MATERIAL WITH IMPROVED MECHANICAL PROPERTIES USING AQUEOUS DISPERSION OF NATURAL POLYMER NANOFIBERS AND METHOD FOR PREPARING SAME,"Korea Research Institute of Chemical Technology, Daejeon 34114, Korejská republika"
EP,2020-884767,4056636,Platný dokument na poshovovací lhůtě,"C08K13/02, B82Y30/00",EN: COMPOSITION FOR SOLID TYRES AND NON-MARKING SOLID TYRE,"MCD Technologies S.a.r.l, 3364 Leudelange, Lucembursko"
PV,2021-419,309528,Platný dokument,"C12N1/16, C12R1/865, C12C11/02, C12H3/00",CS: Kmen kvasinek Saccharomyces cerevisiae CCM 9181 a jeho použití při výrobě nízkoalkoholického a nealkoholického pivaEN: Yeast strain Saccharomyces cerevisiae CCM 9181 and its use in producing low-alcohol and non-alcohol beer,"Výzkumný ústav pivovarský a sladařský, a.s., Praha 2, Nové Město, Česká republikaUniverzita Karlova, Praha 1, Staré Město, Česká republika"
