Applicant_Name,Country_Code,Application_Number,File_Name,Filing_Date,ID_univerzita,API,TYP,TYP_CISLO
Česká zemědělská univerzita v Praze ,CZ,2018-35749,OPENDATAST96_PT_CZ_DIFF_PUV2018-35749.xml,2018-12-17,3,PUV/35749,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2019-36294,OPENDATAST96_PT_CZ_DIFF_PUV2019-36294.xml,2019-06-12,3,PUV/36294,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2019-36372,OPENDATAST96_PT_CZ_DIFF_PUV2019-36372.xml,2019-07-01,3,PUV/36372,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2019-36374,OPENDATAST96_PT_CZ_DIFF_PUV2019-36374.xml,2019-07-01,3,PUV/36374,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2019-36419,OPENDATAST96_PT_CZ_DIFF_PUV2019-36419.xml,2019-07-17,3,PUV/36419,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2019-36450,OPENDATAST96_PT_CZ_DIFF_PUV2019-36450.xml,2019-07-29,3,PUV/36450,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2019-36581,OPENDATAST96_PT_CZ_DIFF_PUV2019-36581.xml,2019-09-03,3,PUV/36581,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2019-36723,OPENDATAST96_PT_CZ_DIFF_PUV2019-36723.xml,2019-10-09,3,PUV/36723,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2019-36779,OPENDATAST96_PT_CZ_DIFF_PUV2019-36779.xml,2019-10-21,3,PUV/36779,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2019-36957,OPENDATAST96_PT_CZ_DIFF_PUV2019-36957.xml,2019-12-04,3,PUV/36957,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2019-37092,OPENDATAST96_PT_CZ_DIFF_PUV2019-37092.xml,2019-12-30,3,PUV/37092,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-37455,OPENDATAST96_PT_CZ_DIFF_PUV2020-37455.xml,2020-04-20,3,PUV/37455,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-37846,OPENDATAST96_PT_CZ_DIFF_PUV2020-37846.xml,2020-08-06,3,PUV/37846,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-37934,OPENDATAST96_PT_CZ_DIFF_PUV2020-37934.xml,2020-09-01,3,PUV/37934,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-37937,OPENDATAST96_PT_CZ_DIFF_PUV2020-37937.xml,2020-09-01,3,PUV/37937,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-38097,OPENDATAST96_PT_CZ_DIFF_PUV2020-38097.xml,2020-10-13,3,PUV/38097,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-38112,OPENDATAST96_PT_CZ_DIFF_PUV2020-38112.xml,2020-10-16,3,PUV/38112,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-38115,OPENDATAST96_PT_CZ_DIFF_PUV2020-38115.xml,2020-10-16,3,PUV/38115,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-38252,OPENDATAST96_PT_CZ_DIFF_PUV2020-38252.xml,2020-11-21,3,PUV/38252,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-38275,OPENDATAST96_PT_CZ_DIFF_PUV2020-38275.xml,2020-11-26,3,PUV/38275,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-38339,OPENDATAST96_PT_CZ_DIFF_PUV2020-38339.xml,2020-12-10,3,PUV/38339,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-38350,OPENDATAST96_PT_CZ_DIFF_PUV2020-38350.xml,2020-12-14,3,PUV/38350,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-38381,OPENDATAST96_PT_CZ_DIFF_PUV2020-38381.xml,2020-12-18,3,PUV/38381,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2020-38384,OPENDATAST96_PT_CZ_DIFF_PUV2020-38384.xml,2020-12-18,3,PUV/38384,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-38698,OPENDATAST96_PT_CZ_DIFF_PUV2021-38698.xml,2021-03-31,3,PUV/38698,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-38888,OPENDATAST96_PT_CZ_DIFF_PUV2021-38888.xml,2021-06-09,3,PUV/38888,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-38952,OPENDATAST96_PT_CZ_DIFF_PUV2021-38952.xml,2021-06-30,3,PUV/38952,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-38973,OPENDATAST96_PT_CZ_DIFF_PUV2021-38973.xml,2021-07-08,3,PUV/38973,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-39075,OPENDATAST96_PT_CZ_DIFF_PUV2021-39075.xml,2021-08-06,3,PUV/39075,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-39160,OPENDATAST96_PT_CZ_DIFF_PUV2021-39160.xml,2021-09-10,3,PUV/39160,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-39162,OPENDATAST96_PT_CZ_DIFF_PUV2021-39162.xml,2021-09-10,3,PUV/39162,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-39163,OPENDATAST96_PT_CZ_DIFF_PUV2021-39163.xml,2021-09-10,3,PUV/39163,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-39255,OPENDATAST96_PT_CZ_DIFF_PUV2021-39255.xml,2021-10-11,3,PUV/39255,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-39310,OPENDATAST96_PT_CZ_DIFF_PUV2021-39310.xml,2021-10-26,3,PUV/39310,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-39315,OPENDATAST96_PT_CZ_DIFF_PUV2021-39315.xml,2021-10-26,3,PUV/39315,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2021-39479,OPENDATAST96_PT_CZ_DIFF_PUV2021-39479.xml,2021-12-15,3,PUV/39479,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-39599,OPENDATAST96_PT_CZ_DIFF_PUV2022-39599.xml,2022-01-21,3,PUV/39599,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-39875,OPENDATAST96_PT_CZ_DIFF_PUV2022-39875.xml,2022-05-12,3,PUV/39875,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-40145,OPENDATAST96_PT_CZ_DIFF_PUV2022-40145.xml,2022-08-12,3,PUV/40145,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-40155,OPENDATAST96_PT_CZ_DIFF_PUV2022-40155.xml,2022-08-16,3,PUV/40155,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-40213,OPENDATAST96_PT_CZ_DIFF_PUV2022-40213.xml,2022-09-07,3,PUV/40213,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-40214,OPENDATAST96_PT_CZ_DIFF_PUV2022-40214.xml,2022-09-07,3,PUV/40214,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-40363,OPENDATAST96_PT_CZ_DIFF_PUV2022-40363.xml,2022-10-18,3,PUV/40363,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-40380,OPENDATAST96_PT_CZ_DIFF_PUV2022-40380.xml,2022-10-21,3,PUV/40380,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-40524,OPENDATAST96_PT_CZ_DIFF_PUV2022-40524.xml,2020-12-22,3,PUV/40524,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-40553,OPENDATAST96_PT_CZ_DIFF_PUV2022-40553.xml,2022-12-06,3,PUV/40553,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-40558,OPENDATAST96_PT_CZ_DIFF_PUV2022-40558.xml,2022-12-07,3,PUV/40558,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2022-40566,OPENDATAST96_PT_CZ_DIFF_PUV2022-40566.xml,2022-12-09,3,PUV/40566,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2023-40836,OPENDATAST96_PT_CZ_DIFF_PUV2023-40836.xml,2023-03-28,3,PUV/40836,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2023-40902,OPENDATAST96_PT_CZ_DIFF_PUV2023-40902.xml,2023-04-17,3,PUV/40902,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2023-41107,OPENDATAST96_PT_CZ_DIFF_PUV2023-41107.xml,2023-06-27,3,PUV/41107,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2023-41146,OPENDATAST96_PT_CZ_DIFF_PUV2023-41146.xml,2023-07-14,3,PUV/41146,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2023-41190,OPENDATAST96_PT_CZ_DIFF_PUV2023-41190.xml,2023-08-01,3,PUV/41190,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2024-41748,OPENDATAST96_PT_CZ_DIFF_PUV2024-41748.xml,2024-02-01,3,PUV/41748,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2024-41999,OPENDATAST96_PT_CZ_DIFF_PUV2024-41999.xml,2024-05-30,3,PUV/41999,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2024-42000,OPENDATAST96_PT_CZ_DIFF_PUV2024-42000.xml,2024-05-30,3,PUV/42000,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2024-42001,OPENDATAST96_PT_CZ_DIFF_PUV2024-42001.xml,2024-05-30,3,PUV/42001,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2024-42002,OPENDATAST96_PT_CZ_DIFF_PUV2024-42002.xml,2024-05-30,3,PUV/42002,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2024-42018,OPENDATAST96_PT_CZ_DIFF_PUV2024-42018.xml,2024-06-04,3,PUV/42018,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2024-42074,OPENDATAST96_PT_CZ_DIFF_PUV2024-42074.xml,2024-06-28,3,PUV/42074,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2024-42155,OPENDATAST96_PT_CZ_DIFF_PUV2024-42155.xml,2024-08-14,3,PUV/42155,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2015-449,OPENDATAST96_PT_CZ_DIFF_PV2015-449.xml,2015-06-29,3,PT/2015-449,PT,1
Česká zemědělská univerzita v Praze ,CZ,2015-682,OPENDATAST96_PT_CZ_DIFF_PV2015-682.xml,2015-10-02,3,PT/2015-682,PT,1
Česká zemědělská univerzita v Praze ,CZ,2015-786,OPENDATAST96_PT_CZ_DIFF_PV2015-786.xml,2015-11-05,3,PT/2015-786,PT,1
Česká zemědělská univerzita v Praze ,CZ,2015-937,OPENDATAST96_PT_CZ_DIFF_PV2015-937.xml,2015-12-23,3,PT/2015-937,PT,1
Česká zemědělská univerzita v Praze ,CZ,2016-714,OPENDATAST96_PT_CZ_DIFF_PV2016-714.xml,2016-11-14,3,PT/2016-714,PT,1
Česká zemědělská univerzita v Praze ,CZ,2016-735,OPENDATAST96_PT_CZ_DIFF_PV2016-735.xml,2016-11-25,3,PT/2016-735,PT,1
Česká zemědělská univerzita v Praze ,CZ,2016-819,OPENDATAST96_PT_CZ_DIFF_PV2016-819.xml,2016-12-21,3,PT/2016-819,PT,1
Česká zemědělská univerzita v Praze ,CZ,2017-135,OPENDATAST96_PT_CZ_DIFF_PV2017-135.xml,2017-03-10,3,PT/2017-135,PT,1
Česká zemědělská univerzita v Praze ,CZ,2017-136,OPENDATAST96_PT_CZ_DIFF_PV2017-136.xml,2017-03-10,3,PT/2017-136,PT,1
Česká zemědělská univerzita v Praze ,CZ,2017-258,OPENDATAST96_PT_CZ_DIFF_PV2017-258.xml,2017-05-05,3,PT/2017-258,PT,1
Česká zemědělská univerzita v Praze ,CZ,2017-470,OPENDATAST96_PT_CZ_DIFF_PV2017-470.xml,2017-08-15,3,PT/2017-470,PT,1
Česká zemědělská univerzita v Praze ,CZ,2017-767,OPENDATAST96_PT_CZ_DIFF_PV2017-767.xml,2017-11-30,3,PT/2017-767,PT,1
Česká zemědělská univerzita v Praze ,CZ,2017-788,OPENDATAST96_PT_CZ_DIFF_PV2017-788.xml,2017-12-08,3,PT/2017-788,PT,1
Česká zemědělská univerzita v Praze ,CZ,2018-365,OPENDATAST96_PT_CZ_DIFF_PV2018-365.xml,2018-07-20,3,PT/2018-365,PT,1
Česká zemědělská univerzita v Praze ,CZ,2019-302,OPENDATAST96_PT_CZ_DIFF_PV2019-302.xml,2019-05-15,3,PT/2019-302,PT,1
Česká zemědělská univerzita v Praze ,CZ,2019-366,OPENDATAST96_PT_CZ_DIFF_PV2019-366.xml,2019-06-12,3,PT/2019-366,PT,1
Česká zemědělská univerzita v Praze ,CZ,2019-561,OPENDATAST96_PT_CZ_DIFF_PV2019-561.xml,2019-09-03,3,PT/2019-561,PT,1
Česká zemědělská univerzita v Praze ,CZ,2019-565,OPENDATAST96_PT_CZ_DIFF_PV2019-565.xml,2019-09-04,3,PT/2019-565,PT,1
Česká zemědělská univerzita v Praze ,CZ,2019-723,OPENDATAST96_PT_CZ_DIFF_PV2019-723.xml,2019-11-25,3,PT/2019-723,PT,1
Česká zemědělská univerzita v Praze ,CZ,2020-223,OPENDATAST96_PT_CZ_DIFF_PV2020-223.xml,2020-04-17,3,PT/2020-223,PT,1
Česká zemědělská univerzita v Praze ,CZ,2020-224,OPENDATAST96_PT_CZ_DIFF_PV2020-224.xml,2020-04-17,3,PT/2020-224,PT,1
