Publication_Office_Code,Original_Publication_Office_Code,Publication_Number,Document_Kind_Code,Publication_Date,Application_Number,Filing_Date,Invention_Title,File_Name
CZ,CZ,25861,U1,2013-09-16,2013-27847,2013-04-25,Svahová stabilizační rohož,OPENDATAST96_PT_CZ_DIFF_PUV2013-27847.xml
CZ,CZ,25862,U1,2013-09-16,2013-27848,2013-04-25,Záchytný plot pro eliminaci zemito-kamenitých proudů,OPENDATAST96_PT_CZ_DIFF_PUV2013-27848.xml
CZ,CZ,25669,U1,2013-07-18,2013-27874,2013-05-03,Zařízení pro bezdrátové ovládání výhybek,OPENDATAST96_PT_CZ_DIFF_PUV2013-27874.xml
CZ,CZ,26060,U1,2013-11-07,2013-27886,2013-05-06,Cereální tyčinka se zeleninou,OPENDATAST96_PT_CZ_DIFF_PUV2013-27886.xml
CZ,CZ,27532,U1,2014-11-27,2013-27932,2013-05-16,Bělený olej,OPENDATAST96_PT_CZ_DIFF_PUV2013-27932.xml
CZ,CZ,25702,U1,2013-07-29,2013-27938,2013-05-17,Směs ke zhotovení vláknocementového kompozitu,OPENDATAST96_PT_CZ_DIFF_PUV2013-27938.xml
CZ,CZ,25703,U1,2013-07-29,2013-27939,2013-05-17,Směs ke zhotovení vláknocementového kompozitu,OPENDATAST96_PT_CZ_DIFF_PUV2013-27939.xml
CZ,CZ,26061,U1,2013-11-07,2013-27942,2013-05-17,Sypané cereálie se zeleninou,OPENDATAST96_PT_CZ_DIFF_PUV2013-27942.xml
CZ,CZ,26062,U1,2013-11-07,2013-27943,2013-05-17,Cereální tyčinka se zeleninou,OPENDATAST96_PT_CZ_DIFF_PUV2013-27943.xml
CZ,CZ,26063,U1,2013-11-07,2013-27944,2013-05-17,Müsli tyčinka se zeleninou,OPENDATAST96_PT_CZ_DIFF_PUV2013-27944.xml
CZ,CZ,25914,U1,2013-10-01,2013-27970,2013-05-23,Výhybka s přímou kolejí a odbočovací kolejí,OPENDATAST96_PT_CZ_DIFF_PUV2013-27970.xml
CZ,SK,26229,U1,2013-12-12,2013-27973,2013-05-23,Prostředek zvyšující účinnost dusíku v hnojivech potlačením jeho degradace,OPENDATAST96_PT_CZ_DIFF_PUV2013-27973.xml
CZ,SK,26230,U1,2013-12-12,2013-27974,2013-05-23,Kapalné koncentráty křemíku určené k výživě rostlin,OPENDATAST96_PT_CZ_DIFF_PUV2013-27974.xml
CZ,SK,27188,U1,2014-07-21,2013-27975,2013-05-23,"Rozpouštědlové soustavy na přípravu kapalných koncentrátů dikyandiamidu, amidů thiofosforečné a fosforečné kyseliny a jejich použití jako hnojivo",OPENDATAST96_PT_CZ_DIFF_PUV2013-27975.xml
CZ,CZ,25704,U1,2013-07-29,2013-28020,2013-06-04,"Napouštěcí ventil, zejména pro nádrže WC",OPENDATAST96_PT_CZ_DIFF_PUV2013-28020.xml
CZ,CZ,25871,U1,2013-09-16,2013-28047,2013-06-10,Prefabrikovaná základová konstrukce nosných zdí,OPENDATAST96_PT_CZ_DIFF_PUV2013-28047.xml
CZ,CZ,25803,U1,2013-08-27,2013-28048,2013-06-10,Obal na výbušniny a střeliviny,OPENDATAST96_PT_CZ_DIFF_PUV2013-28048.xml
CZ,CZ,25805,U1,2013-08-27,2013-28085,2013-06-20,Tribologický simulátor valivého ložiska,OPENDATAST96_PT_CZ_DIFF_PUV2013-28085.xml
CZ,CZ,25706,U1,2013-07-29,2013-28095,2013-06-21,Rozpínatelný horninový svorník,OPENDATAST96_PT_CZ_DIFF_PUV2013-28095.xml
CZ,CZ,26502,U1,2014-02-24,2013-28118,2013-06-25,Vícestranná dvířka krbových vložek nebo kamen a rohová spojovací lišta skel pro použití u vícestranných dvířek krbových vložek nebo kamen,OPENDATAST96_PT_CZ_DIFF_PUV2013-28118.xml
CZ,CZ,26937,U1,2014-05-19,2013-28145,2013-07-01,Substrát pro kaktusy a sukulenty,OPENDATAST96_PT_CZ_DIFF_PUV2013-28145.xml
CZ,CZ,26938,U1,2014-05-19,2013-28146,2013-07-01,Substrát pro bylinky a zelené koření,OPENDATAST96_PT_CZ_DIFF_PUV2013-28146.xml
CZ,CZ,26939,U1,2014-05-19,2013-28147,2013-07-01,Substrát pro citrusy a jiné subtropické rostliny,OPENDATAST96_PT_CZ_DIFF_PUV2013-28147.xml
CZ,CZ,26235,U1,2013-12-12,2013-28169,2013-07-04,Víceúrovňový dielektrický extenzometr pro sledování malého rozsahu deformace,OPENDATAST96_PT_CZ_DIFF_PUV2013-28169.xml
CZ,CZ,25876,U1,2013-09-16,2013-28175,2013-07-08,Fixační vložka,OPENDATAST96_PT_CZ_DIFF_PUV2013-28175.xml
CZ,CZ,25838,U1,2013-09-09,2013-28179,2013-07-08,Obuv se speciální mezipodešví,OPENDATAST96_PT_CZ_DIFF_PUV2013-28179.xml
CZ,CZ,26138,U1,2013-11-25,2013-28200,2013-07-12,Mechanizmus natahování kohoutku samonabíjecí pistole,OPENDATAST96_PT_CZ_DIFF_PUV2013-28200.xml
CZ,CZ,25812,U1,2013-08-27,2013-28203,2013-07-15,Zámek závěru samonabíjecí pistole během výstřelu,OPENDATAST96_PT_CZ_DIFF_PUV2013-28203.xml
CZ,CZ,26076,U1,2013-11-11,2013-28210,2013-07-16,Soustava pro výstavbu betonové podlahy na zpevněném povrchu zeminy u přízemních staveb,OPENDATAST96_PT_CZ_DIFF_PUV2013-28210.xml
CZ,CZ,25918,U1,2013-10-01,2013-28211,2013-07-16,Prefabrikát pro realizaci výstavby silničních komunikací s betonovým povrchem,OPENDATAST96_PT_CZ_DIFF_PUV2013-28211.xml
CZ,CZ,25960,U1,2013-10-14,2013-28212,2013-07-16,Prefabrikovaný systém krajnicové konstrukce se svodidly,OPENDATAST96_PT_CZ_DIFF_PUV2013-28212.xml
CZ,CZ,26078,U1,2013-11-11,2013-28225,2013-07-19,"Zpevněná komunikace, zvláště komunikace s nízkým dopravním zatížením",OPENDATAST96_PT_CZ_DIFF_PUV2013-28225.xml
CZ,CZ,25942,U1,2013-10-08,2013-28227,2013-07-19,Lamelový aerosolový odlučovač,OPENDATAST96_PT_CZ_DIFF_PUV2013-28227.xml
CZ,CZ,26180,U1,2013-12-05,2013-28247,2013-07-25,Cukrářský krém,OPENDATAST96_PT_CZ_DIFF_PUV2013-28247.xml
CZ,CZ,25921,U1,2013-10-01,2013-28254,2013-07-25,Kompozitní mostní dílec pro kolejová vozidla,OPENDATAST96_PT_CZ_DIFF_PUV2013-28254.xml
CZ,CZ,26163,U1,2013-12-02,2013-28295,2013-08-07,Lisovaný granulát látek s obsahem úletových a/nebo roštových popelů z biomasy nebo jejich směsí,OPENDATAST96_PT_CZ_DIFF_PUV2013-28295.xml
CZ,CZ,26304,U1,2014-01-06,2013-28297,2013-08-08,Kompaktní světlomet s úplným vnitřním odrazem,OPENDATAST96_PT_CZ_DIFF_PUV2013-28297.xml
CZ,CZ,25926,U1,2013-10-01,2013-28310,2013-08-12,Vysokotlaký pádový viskozimetr,OPENDATAST96_PT_CZ_DIFF_PUV2013-28310.xml
CZ,CZ,25886,U1,2013-09-19,2013-28331,2013-08-15,Svítidlo s vyměnitelným obdélníkovým panelem LED diod,OPENDATAST96_PT_CZ_DIFF_PUV2013-28331.xml
CZ,CZ,25887,U1,2013-09-19,2013-28332,2013-08-15,Svítidlo s vyměnitelným kruhovým panelem LED diod,OPENDATAST96_PT_CZ_DIFF_PUV2013-28332.xml
CZ,CZ,26142,U1,2013-11-25,2013-28337,2013-08-19,"Zámek závěru samonabíjecí a automatické pušky, automatu, samopalu nebo kulometu",OPENDATAST96_PT_CZ_DIFF_PUV2013-28337.xml
CZ,CZ,26940,U1,2014-05-19,2013-28349,2013-08-22,"Substrát pro rajčata, papriky a okurky",OPENDATAST96_PT_CZ_DIFF_PUV2013-28349.xml
CZ,CZ,26165,U1,2013-12-02,2013-28377,2013-08-28,Zařízení pro návrat aerologických sond na zemi,OPENDATAST96_PT_CZ_DIFF_PUV2013-28377.xml
CZ,CZ,26383,U1,2014-01-28,2013-28405,2013-09-03,Automatické ovládací zařízení geotechnického stroje pro měření únosnosti zeminy,OPENDATAST96_PT_CZ_DIFF_PUV2013-28405.xml
CZ,CZ,26031,U1,2013-10-29,2013-28406,2013-09-03,Optimalizovaný panel LED diod,OPENDATAST96_PT_CZ_DIFF_PUV2013-28406.xml
CZ,CZ,26032,U1,2013-10-29,2013-28413,2013-09-04,Tepelně energetické zařízení obsahující parní turbinu,OPENDATAST96_PT_CZ_DIFF_PUV2013-28413.xml
CZ,CZ,26033,U1,2013-10-29,2013-28418,2013-09-05,Dveřní kování,OPENDATAST96_PT_CZ_DIFF_PUV2013-28418.xml
CZ,CZ,26441,U1,2014-02-10,2013-28421,2013-09-06,"Betonová směs, zejména pro přímopojížděnou cementobetonovou mostovku",OPENDATAST96_PT_CZ_DIFF_PUV2013-28421.xml
CZ,CZ,26193,U1,2013-12-09,2013-28432,2013-09-10,Primery pro detekci mutací souvisejících s rezistencí Varroa destructor k tau-fluvalinátu,OPENDATAST96_PT_CZ_DIFF_PUV2013-28432.xml
CZ,CZ,26385,U1,2014-01-28,2013-28447,2013-09-13,Sledování genové exprese UDP-glykosyltransferasy v ječmeni,OPENDATAST96_PT_CZ_DIFF_PUV2013-28447.xml
CZ,CZ,26443,U1,2014-02-10,2013-28449,2013-09-13,Mobilní multimediální a interaktivní projekční zařízení pro projekci na podlahu,OPENDATAST96_PT_CZ_DIFF_PUV2013-28449.xml
CZ,CZ,26444,U1,2014-02-10,2013-28453,2013-09-15,"Vrták, zejména pro vrtání do měkkých materiálů",OPENDATAST96_PT_CZ_DIFF_PUV2013-28453.xml
CZ,CZ,26445,U1,2014-02-10,2013-28456,2013-09-16,Reakční směs pro stanovení exprese regulačních genů syntézy trichothecenů u Fusarium culmorum ve vzorcích infikovaného ječmene,OPENDATAST96_PT_CZ_DIFF_PUV2013-28456.xml
CZ,CZ,26386,U1,2014-01-28,2013-28457,2013-09-16,Kombinace sad primerů pro sledování exprese genů kódujících PR4 a PR5 proteiny v ječmeni,OPENDATAST96_PT_CZ_DIFF_PUV2013-28457.xml
CZ,CZ,26085,U1,2013-11-11,2013-28485,2013-09-18,Tepelně izolační modul pro tlakem namáhané konstrukce,OPENDATAST96_PT_CZ_DIFF_PUV2013-28485.xml
CZ,CZ,26282,U1,2013-12-19,2013-28508,2013-09-23,Nosník nadkrokevní izolace,OPENDATAST96_PT_CZ_DIFF_PUV2013-28508.xml
CZ,CZ,26477,U1,2014-02-17,2013-28509,2013-09-23,Rozhraní pro bezpečné vyvedení stavového binárního signálu z přejezdového zabezpečovacího zařízení,OPENDATAST96_PT_CZ_DIFF_PUV2013-28509.xml
CZ,CZ,26609,U1,2014-03-13,2013-28513,2013-09-23,Lehký obvodový plášť panelového typu na bázi dřeva,OPENDATAST96_PT_CZ_DIFF_PUV2013-28513.xml
CZ,CZ,26862,U1,2014-04-28,2013-28520,2013-09-25,Přepravní obal chlazených produktů s průběžným měřením teploty přepravovaného produktu,OPENDATAST96_PT_CZ_DIFF_PUV2013-28520.xml
CZ,CZ,26248,U1,2013-12-16,2013-28524,2013-09-25,Zdicí prvek a stěna stavebního objektu,OPENDATAST96_PT_CZ_DIFF_PUV2013-28524.xml
CZ,CZ,26121,U1,2013-11-18,2013-28526,2013-09-26,"Smýkadlo s pohonem rotačních nástrojů, zejména pro svislé soustruhy a obráběcí centra karuselového typu",OPENDATAST96_PT_CZ_DIFF_PUV2013-28526.xml
CZ,CZ,26533,U1,2014-02-27,2013-28531,2013-09-27,Lyofilizovaná pevná léková forma s alergenem různých koncentrací jako hyposenzibilizační léčivo,OPENDATAST96_PT_CZ_DIFF_PUV2013-28531.xml
CZ,CZ,29745,U1,2016-09-06,2013-28535,2013-09-27,Sedací prostředek,OPENDATAST96_PT_CZ_DIFF_PUV2013-28535.xml
CZ,CZ,27432,U1,2014-10-27,2013-28537,2013-09-30,Univerzální PE stretch hood fólie,OPENDATAST96_PT_CZ_DIFF_PUV2013-28537.xml
CZ,CZ,26250,U1,2013-12-16,2013-28538,2013-09-30,Železniční pražec,OPENDATAST96_PT_CZ_DIFF_PUV2013-28538.xml
CZ,CZ,26089,U1,2013-11-11,2013-28541,2013-09-30,Druhově pestrá osivová směs pro suché oblasti,OPENDATAST96_PT_CZ_DIFF_PUV2013-28541.xml
CZ,CZ,26090,U1,2013-11-11,2013-28542,2013-09-30,Rekultivační osivová směs pro suché oblasti,OPENDATAST96_PT_CZ_DIFF_PUV2013-28542.xml
CZ,CZ,26534,U1,2014-02-27,2013-28546,2013-09-30,Hořáková hlava,OPENDATAST96_PT_CZ_DIFF_PUV2013-28546.xml
CZ,CZ,26505,U1,2014-02-24,2013-28548,2013-09-30,Nastavitelný zemní vrut,OPENDATAST96_PT_CZ_DIFF_PUV2013-28548.xml
CZ,CZ,26449,U1,2014-02-10,2013-28551,2013-09-30,Ostřikovací tryska s širokoúhlým plochým výstupním paprskem,OPENDATAST96_PT_CZ_DIFF_PUV2013-28551.xml
CZ,CZ,26506,U1,2014-02-24,2013-28553,2013-09-30,Kombinovaný olejoplynový hořák,OPENDATAST96_PT_CZ_DIFF_PUV2013-28553.xml
CZ,CZ,26535,U1,2014-02-27,2013-28554,2013-09-30,Oftalmologické diagnostické zařízení,OPENDATAST96_PT_CZ_DIFF_PUV2013-28554.xml
CZ,CZ,27564,U1,2014-12-08,2013-28559,2013-09-30,Multikanálový celotělový impedanční monitor,OPENDATAST96_PT_CZ_DIFF_PUV2013-28559.xml
CZ,CZ,26479,U1,2014-02-17,2013-28568,2013-10-03,Naváděč máku horizontálního makomlýnku,OPENDATAST96_PT_CZ_DIFF_PUV2013-28568.xml
CZ,CZ,26507,U1,2014-02-24,2013-28569,2013-10-03,Zařízení pro úpravu a regulaci plynů pro spalovací zařízení,OPENDATAST96_PT_CZ_DIFF_PUV2013-28569.xml
CZ,CZ,26201,U1,2013-12-09,2013-28572,2013-10-03,Nástavba pecního vozíku,OPENDATAST96_PT_CZ_DIFF_PUV2013-28572.xml
CZ,CZ,26122,U1,2013-11-18,2013-28581,2013-10-04,Briketovací lis se zvýšenou lisovací silou,OPENDATAST96_PT_CZ_DIFF_PUV2013-28581.xml
CZ,CZ,26203,U1,2013-12-09,2013-28588,2013-10-07,Obal na láhev,OPENDATAST96_PT_CZ_DIFF_PUV2013-28588.xml
CZ,CZ,26571,U1,2014-03-06,2013-28591,2013-10-07,Dvouvodičová sběrnice,OPENDATAST96_PT_CZ_DIFF_PUV2013-28591.xml
CZ,CZ,26905,U1,2014-05-12,2013-28593,2013-10-08,Zařízení k mazání okolků kol kolejových motorových vozů,OPENDATAST96_PT_CZ_DIFF_PUV2013-28593.xml
CZ,CZ,26907,U1,2014-05-12,2013-28614,2013-10-10,Textilní laminát pro výrobu skládaných vzduchových filtrů,OPENDATAST96_PT_CZ_DIFF_PUV2013-28614.xml
CZ,CZ,26450,U1,2014-02-10,2013-28615,2013-10-10,Tomoterapeutický radioterapeutický ozařovač,OPENDATAST96_PT_CZ_DIFF_PUV2013-28615.xml
CZ,CZ,26729,U1,2014-04-07,2013-28621,2013-10-14,Polymerní inkoust pro materiálový tisk,OPENDATAST96_PT_CZ_DIFF_PUV2013-28621.xml
CZ,CZ,26613,U1,2014-03-13,2013-28625,2013-10-15,Podkladový rošt s čalouněním do rozkládacích křesel nebo pohovek,OPENDATAST96_PT_CZ_DIFF_PUV2013-28625.xml
CZ,CZ,26704,U1,2014-03-31,2013-28627,2013-10-15,"Systém konstrukčních prvků pro vytvoření různých konstrukčních celků, zejména skříně železničního vozidla",OPENDATAST96_PT_CZ_DIFF_PUV2013-28627.xml
CZ,CZ,26211,U1,2013-12-09,2013-28631,2013-10-16,Separační vrstva pro betonové výrobky,OPENDATAST96_PT_CZ_DIFF_PUV2013-28631.xml
CZ,CN,26656,U1,2014-03-24,2013-28632,2013-10-16,Kladkostroj,OPENDATAST96_PT_CZ_DIFF_PUV2013-28632.xml
CZ,CZ,26614,U1,2014-03-13,2013-28634,2013-10-17,Židle,OPENDATAST96_PT_CZ_DIFF_PUV2013-28634.xml
CZ,CZ,26706,U1,2014-03-31,2013-28635,2013-10-18,Stavebnicový provzdušňovací rošt,OPENDATAST96_PT_CZ_DIFF_PUV2013-28635.xml
CZ,CZ,26410,U1,2014-02-03,2013-28647,2013-10-21,Lineární pneumatický pohon motýlkového ventilu,OPENDATAST96_PT_CZ_DIFF_PUV2013-28647.xml
CZ,CZ,26481,U1,2014-02-17,2013-28648,2013-10-21,Kryogenní vývěva,OPENDATAST96_PT_CZ_DIFF_PUV2013-28648.xml
CZ,CZ,26411,U1,2014-02-03,2013-28649,2013-10-21,Hydrogelová kompozice s obsahem biologicky aktivního aditiva,OPENDATAST96_PT_CZ_DIFF_PUV2013-28649.xml
CZ,CZ,26252,U1,2013-12-16,2013-28651,2013-10-22,Odpadkový koš odolný proti výbuchu v nízké hladině zatížení,OPENDATAST96_PT_CZ_DIFF_PUV2013-28651.xml
CZ,CZ,26253,U1,2013-12-16,2013-28652,2013-10-22,Jednostranné svodidlo,OPENDATAST96_PT_CZ_DIFF_PUV2013-28652.xml
CZ,CZ,26572,U1,2014-03-06,2013-28654,2013-10-22,Automatické manipulační zařízení,OPENDATAST96_PT_CZ_DIFF_PUV2013-28654.xml
CZ,CZ,26254,U1,2013-12-16,2013-28657,2013-10-22,Odpadkový koš odolný proti výbuchu ve střední hladině zatížení,OPENDATAST96_PT_CZ_DIFF_PUV2013-28657.xml
CZ,CZ,26255,U1,2013-12-16,2013-28658,2013-10-22,Odpadkový koš odolný proti výbuchu ve vysoké hladině zatížení,OPENDATAST96_PT_CZ_DIFF_PUV2013-28658.xml
CZ,CZ,26731,U1,2014-04-07,2013-28662,2013-10-24,Zařízení pro zlepšení adheze polypropylenových vláken pomocí plazmové úpravy,OPENDATAST96_PT_CZ_DIFF_PUV2013-28662.xml
CZ,CZ,26618,U1,2014-03-17,2013-28672,2013-10-28,Elektronické zařízení pro sledování průběhu síly tahu na posilovacím stroji,OPENDATAST96_PT_CZ_DIFF_PUV2013-28672.xml
CZ,CZ,27007,U1,2014-06-10,2013-28673,2013-10-28,Elektronické zařízení pro sledování závodní lodě,OPENDATAST96_PT_CZ_DIFF_PUV2013-28673.xml
CZ,CZ,26942,U1,2014-05-19,2013-28674,2013-10-28,Zařízení pro snímání managementu dýchacích pohybů pacienta během radioterapie,OPENDATAST96_PT_CZ_DIFF_PUV2013-28674.xml
CZ,CZ,26328,U1,2014-01-09,2013-28675,2013-10-29,Systém pro měření a dlouhodobé sledování krevního tlaku,OPENDATAST96_PT_CZ_DIFF_PUV2013-28675.xml
CZ,CZ,27057,U1,2014-06-16,2013-28676,2013-10-29,Systém pro vzdálenou kontrolu užívání a dodávek léčiv,OPENDATAST96_PT_CZ_DIFF_PUV2013-28676.xml
CZ,CZ,26256,U1,2013-12-16,2013-28677,2013-10-29,Zařízení pro podporu pacientů s onemocněním sclerosis multiplex,OPENDATAST96_PT_CZ_DIFF_PUV2013-28677.xml
CZ,CZ,26483,U1,2014-02-17,2013-28678,2013-10-29,Systém pro šifrovanou komunikaci s mobilními biotelemetrickými jednotkami v reálném čase.,OPENDATAST96_PT_CZ_DIFF_PUV2013-28678.xml
CZ,CZ,26484,U1,2014-02-17,2013-28679,2013-10-29,"Uspořádání podpražcových podložek u železničních výhybek tvaru 1:18,5-1200-l s přechodovou oblastí ve výhybce",OPENDATAST96_PT_CZ_DIFF_PUV2013-28679.xml
CZ,CZ,26485,U1,2014-02-17,2013-28680,2013-10-29,Uspořádání podpražcových podložek u železničních výhybek tvaru 1:14-760 s přechodovou oblastí ve výhybce,OPENDATAST96_PT_CZ_DIFF_PUV2013-28680.xml
CZ,CZ,26486,U1,2014-02-17,2013-28681,2013-10-29,Uspořádání podpražcových podložek u železničních výhybek tvaru 1:12-500-I s přechodovou oblastí před žlabovými pražci,OPENDATAST96_PT_CZ_DIFF_PUV2013-28681.xml
CZ,CZ,26487,U1,2014-02-17,2013-28682,2013-10-29,"Uspořádání podpražcových podložek u železničních výhybek tvaru 1:18,5-1200-l s přechodovou oblastí před žlabovými pražci",OPENDATAST96_PT_CZ_DIFF_PUV2013-28682.xml
CZ,CZ,26488,U1,2014-02-17,2013-28683,2013-10-29,Uspořádání podpražcových podložek u železničních výhybek tvaru 1:14-760 s přechodovou oblastí před žlabovými pražci,OPENDATAST96_PT_CZ_DIFF_PUV2013-28683.xml
CZ,CZ,27008,U1,2014-06-10,2013-28689,2013-10-29,Tepelný výměník pro vzduchové větrací systémy,OPENDATAST96_PT_CZ_DIFF_PUV2013-28689.xml
CZ,CZ,27784,U1,2015-02-06,2013-28691,2013-10-25,Ochranná dýchací maska se společným nádechovým a výdechovým otvorem,OPENDATAST96_PT_CZ_DIFF_PUV2013-28691.xml
CZ,CZ,26258,U1,2013-12-16,2013-28698,2013-10-29,Upínací systém pro  popruhové vymezení hrací plochy hřiště,OPENDATAST96_PT_CZ_DIFF_PUV2013-28698.xml
CZ,CZ,26217,U1,2013-12-09,2013-28703,2013-10-30,Zařízení pro parní ohýbání plastových trubek a gumových hadic,OPENDATAST96_PT_CZ_DIFF_PUV2013-28703.xml
CZ,CZ,28017,U1,2015-03-31,2013-28704,2013-10-30,Systém pro vícebodové sledování fyzické aktivity,OPENDATAST96_PT_CZ_DIFF_PUV2013-28704.xml
CZ,CZ,26370,U1,2014-01-20,2013-28706,2013-10-31,Primery pro detekci patogenních bakterií rodu Bartonella přenášených roztočem Varroa destructor na včelu medonosnou,OPENDATAST96_PT_CZ_DIFF_PUV2013-28706.xml
CZ,CZ,26709,U1,2014-03-31,2013-28718,2013-11-04,"Krycí mřížka, především pro podlahové topení",OPENDATAST96_PT_CZ_DIFF_PUV2013-28718.xml
CZ,CZ,26220,U1,2013-12-09,2013-28720,2013-11-05,Zařízení pro automatickou výměnu nástrojových adaptérů,OPENDATAST96_PT_CZ_DIFF_PUV2013-28720.xml
CZ,CZ,26351,U1,2014-01-13,2013-28724,2013-11-05,Redukční převodovka s výstupem pro pohon přední hnací nápravy,OPENDATAST96_PT_CZ_DIFF_PUV2013-28724.xml
CZ,CZ,26259,U1,2013-12-16,2013-28730,2013-11-06,Prostředek k vytváření dilatačních spár,OPENDATAST96_PT_CZ_DIFF_PUV2013-28730.xml
CZ,CZ,26986,U1,2014-06-02,2013-28731,2013-11-06,Kompozice anorganického pojiva pro povrchovou úpravu betonové střešní krytiny,OPENDATAST96_PT_CZ_DIFF_PUV2013-28731.xml
