Application_number,Datum,Popis
2018-35773,21.12.2015,podání žádosti o úplný průzkum
2018-35773,28.06.2017,zveřejnění PV
2018-35773,18.04.2018,publikace udělení patentu
2018-35773,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35774,21.12.2015,podání přihlášky
2018-35774,21.12.2015,podání žádosti o úplný průzkum
2018-35774,28.06.2017,zveřejnění PV
2018-35774,18.04.2018,publikace udělení patentu
2018-35774,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-735,21.12.2015,podání přihlášky
2018-735,21.12.2015,podání žádosti o úplný průzkum
2018-735,28.06.2017,zveřejnění PV
2018-735,18.04.2018,publikace udělení patentu
2018-735,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31734,21.12.2015,podání přihlášky
2015-31734,21.12.2015,podání žádosti o úplný průzkum
2015-31734,28.06.2017,zveřejnění PV
2015-31734,18.04.2018,publikace udělení patentu
2015-31734,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-792,21.12.2015,podání přihlášky
2015-792,21.12.2015,podání žádosti o úplný průzkum
2015-792,28.06.2017,zveřejnění PV
2015-792,18.04.2018,publikace udělení patentu
2015-792,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-856899,21.12.2015,podání přihlášky
2021-856899,21.12.2015,podání žádosti o úplný průzkum
2021-856899,28.06.2017,zveřejnění PV
2021-856899,18.04.2018,publikace udělení patentu
2021-856899,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-466013,21.12.2015,podání přihlášky
2014-466013,21.12.2015,podání žádosti o úplný průzkum
2014-466013,28.06.2017,zveřejnění PV
2014-466013,18.04.2018,publikace udělení patentu
2014-466013,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-193271,21.12.2015,podání přihlášky
2014-193271,21.12.2015,podání žádosti o úplný průzkum
2014-193271,28.06.2017,zveřejnění PV
2014-193271,18.04.2018,publikace udělení patentu
2014-193271,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-746859,21.12.2015,podání přihlášky
2020-746859,21.12.2015,podání žádosti o úplný průzkum
2020-746859,28.06.2017,zveřejnění PV
2020-746859,18.04.2018,publikace udělení patentu
2020-746859,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-185629,21.12.2015,podání přihlášky
2018-185629,21.12.2015,podání žádosti o úplný průzkum
2018-185629,28.06.2017,zveřejnění PV
2018-185629,18.04.2018,publikace udělení patentu
2018-185629,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-186204,21.12.2015,podání přihlášky
2015-186204,21.12.2015,podání žádosti o úplný průzkum
2015-186204,28.06.2017,zveřejnění PV
2015-186204,18.04.2018,publikace udělení patentu
2015-186204,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-159531,21.12.2015,podání přihlášky
2016-159531,21.12.2015,podání žádosti o úplný průzkum
2016-159531,28.06.2017,zveřejnění PV
2016-159531,18.04.2018,publikace udělení patentu
2016-159531,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-748255,21.12.2015,podání přihlášky
2016-748255,21.12.2015,podání žádosti o úplný průzkum
2016-748255,28.06.2017,zveřejnění PV
2016-748255,18.04.2018,publikace udělení patentu
2016-748255,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-747858,21.12.2015,podání přihlášky
2016-747858,21.12.2015,podání žádosti o úplný průzkum
2016-747858,28.06.2017,zveřejnění PV
2016-747858,18.04.2018,publikace udělení patentu
2016-747858,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-813910,21.12.2015,podání přihlášky
2015-813910,21.12.2015,podání žádosti o úplný průzkum
2015-813910,28.06.2017,zveřejnění PV
2015-813910,18.04.2018,publikace udělení patentu
2015-813910,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-712116,21.12.2015,podání přihlášky
2019-712116,21.12.2015,podání žádosti o úplný průzkum
2019-712116,28.06.2017,zveřejnění PV
2019-712116,18.04.2018,publikace udělení patentu
2019-712116,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-217992,21.12.2015,podání přihlášky
2020-217992,21.12.2015,podání žádosti o úplný průzkum
2020-217992,28.06.2017,zveřejnění PV
2020-217992,18.04.2018,publikace udělení patentu
2020-217992,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-159836,21.12.2015,podání přihlášky
2021-159836,21.12.2015,podání žádosti o úplný průzkum
2021-159836,28.06.2017,zveřejnění PV
2021-159836,18.04.2018,publikace udělení patentu
2021-159836,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-713880,21.12.2015,podání přihlášky
2017-713880,21.12.2015,podání žádosti o úplný průzkum
2017-713880,28.06.2017,zveřejnění PV
2017-713880,18.04.2018,publikace udělení patentu
2017-713880,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-159530,21.12.2015,podání přihlášky
2016-159530,21.12.2015,podání žádosti o úplný průzkum
2016-159530,28.06.2017,zveřejnění PV
2016-159530,18.04.2018,publikace udělení patentu
2016-159530,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-156563,21.12.2015,podání přihlášky
2016-156563,21.12.2015,podání žádosti o úplný průzkum
2016-156563,28.06.2017,zveřejnění PV
2016-156563,18.04.2018,publikace udělení patentu
2016-156563,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-177475,21.12.2015,podání přihlášky
2016-177475,21.12.2015,podání žádosti o úplný průzkum
2016-177475,28.06.2017,zveřejnění PV
2016-177475,18.04.2018,publikace udělení patentu
2016-177475,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-165860,21.12.2015,podání přihlášky
2017-165860,21.12.2015,podání žádosti o úplný průzkum
2017-165860,28.06.2017,zveřejnění PV
2017-165860,18.04.2018,publikace udělení patentu
2017-165860,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-191558,21.12.2015,podání přihlášky
2017-191558,21.12.2015,podání žádosti o úplný průzkum
2017-191558,28.06.2017,zveřejnění PV
2017-191558,18.04.2018,publikace udělení patentu
2017-191558,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-179983,21.12.2015,podání přihlášky
2018-179983,21.12.2015,podání žádosti o úplný průzkum
2018-179983,28.06.2017,zveřejnění PV
2018-179983,18.04.2018,publikace udělení patentu
2018-179983,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-183024,21.12.2015,podání přihlášky
2018-183024,21.12.2015,podání žádosti o úplný průzkum
2018-183024,28.06.2017,zveřejnění PV
2018-183024,18.04.2018,publikace udělení patentu
2018-183024,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-181052,21.12.2015,podání přihlášky
2018-181052,21.12.2015,podání žádosti o úplný průzkum
2018-181052,28.06.2017,zveřejnění PV
2018-181052,18.04.2018,publikace udělení patentu
2018-181052,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-828641,21.12.2015,podání přihlášky
2017-828641,21.12.2015,podání žádosti o úplný průzkum
2017-828641,28.06.2017,zveřejnění PV
2017-828641,18.04.2018,publikace udělení patentu
2017-828641,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-211872,21.12.2015,podání přihlášky
2018-211872,21.12.2015,podání žádosti o úplný průzkum
2018-211872,28.06.2017,zveřejnění PV
2018-211872,18.04.2018,publikace udělení patentu
2018-211872,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-179036,21.12.2015,podání přihlášky
2019-179036,21.12.2015,podání žádosti o úplný průzkum
2019-179036,28.06.2017,zveřejnění PV
2019-179036,18.04.2018,publikace udělení patentu
2019-179036,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-198822,21.12.2015,podání přihlášky
2019-198822,21.12.2015,podání žádosti o úplný průzkum
2019-198822,28.06.2017,zveřejnění PV
2019-198822,18.04.2018,publikace udělení patentu
2019-198822,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-822324,21.12.2015,podání přihlášky
2021-822324,21.12.2015,podání žádosti o úplný průzkum
2021-822324,28.06.2017,zveřejnění PV
2021-822324,18.04.2018,publikace udělení patentu
2021-822324,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-215133,21.12.2015,podání přihlášky
2020-215133,21.12.2015,podání žádosti o úplný průzkum
2020-215133,28.06.2017,zveřejnění PV
2020-215133,18.04.2018,publikace udělení patentu
2020-215133,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-170293,21.12.2015,podání přihlášky
2022-170293,21.12.2015,podání žádosti o úplný průzkum
2022-170293,28.06.2017,zveřejnění PV
2022-170293,18.04.2018,publikace udělení patentu
2022-170293,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-789976,21.12.2015,podání přihlášky
2014-789976,21.12.2015,podání žádosti o úplný průzkum
2014-789976,28.06.2017,zveřejnění PV
2014-789976,18.04.2018,publikace udělení patentu
2014-789976,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-181561,21.12.2015,podání přihlášky
2018-181561,21.12.2015,podání žádosti o úplný průzkum
2018-181561,28.06.2017,zveřejnění PV
2018-181561,18.04.2018,publikace udělení patentu
2018-181561,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-772595,21.12.2015,podání přihlášky
2017-772595,21.12.2015,podání žádosti o úplný průzkum
2017-772595,28.06.2017,zveřejnění PV
2017-772595,18.04.2018,publikace udělení patentu
2017-772595,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-466027,21.12.2015,podání přihlášky
2013-466027,21.12.2015,podání žádosti o úplný průzkum
2013-466027,28.06.2017,zveřejnění PV
2013-466027,18.04.2018,publikace udělení patentu
2013-466027,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-466012,21.12.2015,podání přihlášky
2013-466012,21.12.2015,podání žádosti o úplný průzkum
2013-466012,28.06.2017,zveřejnění PV
2013-466012,18.04.2018,publikace udělení patentu
2013-466012,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-747508,21.12.2015,podání přihlášky
2014-747508,21.12.2015,podání žádosti o úplný průzkum
2014-747508,28.06.2017,zveřejnění PV
2014-747508,18.04.2018,publikace udělení patentu
2014-747508,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-749964,21.12.2015,podání přihlášky
2015-749964,21.12.2015,podání žádosti o úplný průzkum
2015-749964,28.06.2017,zveřejnění PV
2015-749964,18.04.2018,publikace udělení patentu
2015-749964,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-754165,21.12.2015,podání přihlášky
2016-754165,21.12.2015,podání žádosti o úplný průzkum
2016-754165,28.06.2017,zveřejnění PV
2016-754165,18.04.2018,publikace udělení patentu
2016-754165,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-766831,21.12.2015,podání přihlášky
2016-766831,21.12.2015,podání žádosti o úplný průzkum
2016-766831,28.06.2017,zveřejnění PV
2016-766831,18.04.2018,publikace udělení patentu
2016-766831,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-205420,21.12.2015,podání přihlášky
2021-205420,21.12.2015,podání žádosti o úplný průzkum
2021-205420,28.06.2017,zveřejnění PV
2021-205420,18.04.2018,publikace udělení patentu
2021-205420,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-150931,21.12.2015,podání přihlášky
2014-150931,21.12.2015,podání žádosti o úplný průzkum
2014-150931,28.06.2017,zveřejnění PV
2014-150931,18.04.2018,publikace udělení patentu
2014-150931,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-184711,21.12.2015,podání přihlášky
2014-184711,21.12.2015,podání žádosti o úplný průzkum
2014-184711,28.06.2017,zveřejnění PV
2014-184711,18.04.2018,publikace udělení patentu
2014-184711,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-169931,21.12.2015,podání přihlášky
2014-169931,21.12.2015,podání žádosti o úplný průzkum
2014-169931,28.06.2017,zveřejnění PV
2014-169931,18.04.2018,publikace udělení patentu
2014-169931,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-789772,21.12.2015,podání přihlášky
2014-789772,21.12.2015,podání žádosti o úplný průzkum
2014-789772,28.06.2017,zveřejnění PV
2014-789772,18.04.2018,publikace udělení patentu
2014-789772,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-27636,21.12.2015,podání přihlášky
2013-27636,21.12.2015,podání žádosti o úplný průzkum
2013-27636,28.06.2017,zveřejnění PV
2013-27636,18.04.2018,publikace udělení patentu
2013-27636,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-27637,21.12.2015,podání přihlášky
2013-27637,21.12.2015,podání žádosti o úplný průzkum
2013-27637,28.06.2017,zveřejnění PV
2013-27637,18.04.2018,publikace udělení patentu
2013-27637,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29728,21.12.2015,podání přihlášky
2014-29728,21.12.2015,podání žádosti o úplný průzkum
2014-29728,28.06.2017,zveřejnění PV
2014-29728,18.04.2018,publikace udělení patentu
2014-29728,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30330,21.12.2015,podání přihlášky
2014-30330,21.12.2015,podání žádosti o úplný průzkum
2014-30330,28.06.2017,zveřejnění PV
2014-30330,18.04.2018,publikace udělení patentu
2014-30330,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-30985,21.12.2015,podání přihlášky
2015-30985,21.12.2015,podání žádosti o úplný průzkum
2015-30985,28.06.2017,zveřejnění PV
2015-30985,18.04.2018,publikace udělení patentu
2015-30985,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31275,21.12.2015,podání přihlášky
2015-31275,21.12.2015,podání žádosti o úplný průzkum
2015-31275,28.06.2017,zveřejnění PV
2015-31275,18.04.2018,publikace udělení patentu
2015-31275,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31519,21.12.2015,podání přihlášky
2015-31519,21.12.2015,podání žádosti o úplný průzkum
2015-31519,28.06.2017,zveřejnění PV
2015-31519,18.04.2018,publikace udělení patentu
2015-31519,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31581,21.12.2015,podání přihlášky
2015-31581,21.12.2015,podání žádosti o úplný průzkum
2015-31581,28.06.2017,zveřejnění PV
2015-31581,18.04.2018,publikace udělení patentu
2015-31581,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31583,21.12.2015,podání přihlášky
2015-31583,21.12.2015,podání žádosti o úplný průzkum
2015-31583,28.06.2017,zveřejnění PV
2015-31583,18.04.2018,publikace udělení patentu
2015-31583,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31974,21.12.2015,podání přihlášky
2015-31974,21.12.2015,podání žádosti o úplný průzkum
2015-31974,28.06.2017,zveřejnění PV
2015-31974,18.04.2018,publikace udělení patentu
2015-31974,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32993,21.12.2015,podání přihlášky
2016-32993,21.12.2015,podání žádosti o úplný průzkum
2016-32993,28.06.2017,zveřejnění PV
2016-32993,18.04.2018,publikace udělení patentu
2016-32993,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33127,21.12.2015,podání přihlášky
2016-33127,21.12.2015,podání žádosti o úplný průzkum
2016-33127,28.06.2017,zveřejnění PV
2016-33127,18.04.2018,publikace udělení patentu
2016-33127,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33244,21.12.2015,podání přihlášky
2016-33244,21.12.2015,podání žádosti o úplný průzkum
2016-33244,28.06.2017,zveřejnění PV
2016-33244,18.04.2018,publikace udělení patentu
2016-33244,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33327,21.12.2015,podání přihlášky
2017-33327,21.12.2015,podání žádosti o úplný průzkum
2017-33327,28.06.2017,zveřejnění PV
2017-33327,18.04.2018,publikace udělení patentu
2017-33327,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33666,21.12.2015,podání přihlášky
2017-33666,21.12.2015,podání žádosti o úplný průzkum
2017-33666,28.06.2017,zveřejnění PV
2017-33666,18.04.2018,publikace udělení patentu
2017-33666,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33736,21.12.2015,podání přihlášky
2017-33736,21.12.2015,podání žádosti o úplný průzkum
2017-33736,28.06.2017,zveřejnění PV
2017-33736,18.04.2018,publikace udělení patentu
2017-33736,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33935,21.12.2015,podání přihlášky
2017-33935,21.12.2015,podání žádosti o úplný průzkum
2017-33935,28.06.2017,zveřejnění PV
2017-33935,18.04.2018,publikace udělení patentu
2017-33935,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34235,21.12.2015,podání přihlášky
2017-34235,21.12.2015,podání žádosti o úplný průzkum
2017-34235,28.06.2017,zveřejnění PV
2017-34235,18.04.2018,publikace udělení patentu
2017-34235,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34439,21.12.2015,podání přihlášky
2017-34439,21.12.2015,podání žádosti o úplný průzkum
2017-34439,28.06.2017,zveřejnění PV
2017-34439,18.04.2018,publikace udělení patentu
2017-34439,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34480,21.12.2015,podání přihlášky
2017-34480,21.12.2015,podání žádosti o úplný průzkum
2017-34480,28.06.2017,zveřejnění PV
2017-34480,18.04.2018,publikace udělení patentu
2017-34480,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35194,21.12.2015,podání přihlášky
2018-35194,21.12.2015,podání žádosti o úplný průzkum
2018-35194,28.06.2017,zveřejnění PV
2018-35194,18.04.2018,publikace udělení patentu
2018-35194,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35670,21.12.2015,podání přihlášky
2018-35670,21.12.2015,podání žádosti o úplný průzkum
2018-35670,28.06.2017,zveřejnění PV
2018-35670,18.04.2018,publikace udělení patentu
2018-35670,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35749,21.12.2015,podání přihlášky
2018-35749,21.12.2015,podání žádosti o úplný průzkum
2018-35749,28.06.2017,zveřejnění PV
2018-35749,18.04.2018,publikace udělení patentu
2018-35749,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36294,21.12.2015,podání přihlášky
2019-36294,21.12.2015,podání žádosti o úplný průzkum
2019-36294,28.06.2017,zveřejnění PV
2019-36294,18.04.2018,publikace udělení patentu
2019-36294,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36372,21.12.2015,podání přihlášky
2019-36372,21.12.2015,podání žádosti o úplný průzkum
2019-36372,28.06.2017,zveřejnění PV
2019-36372,18.04.2018,publikace udělení patentu
2019-36372,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36374,21.12.2015,podání přihlášky
2019-36374,21.12.2015,podání žádosti o úplný průzkum
2019-36374,28.06.2017,zveřejnění PV
2019-36374,18.04.2018,publikace udělení patentu
2019-36374,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36419,21.12.2015,podání přihlášky
2019-36419,21.12.2015,podání žádosti o úplný průzkum
2019-36419,28.06.2017,zveřejnění PV
2019-36419,18.04.2018,publikace udělení patentu
2019-36419,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36450,21.12.2015,podání přihlášky
2019-36450,21.12.2015,podání žádosti o úplný průzkum
2019-36450,28.06.2017,zveřejnění PV
2019-36450,18.04.2018,publikace udělení patentu
2019-36450,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36581,21.12.2015,podání přihlášky
2019-36581,21.12.2015,podání žádosti o úplný průzkum
2019-36581,28.06.2017,zveřejnění PV
2019-36581,18.04.2018,publikace udělení patentu
2019-36581,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36723,21.12.2015,podání přihlášky
2019-36723,21.12.2015,podání žádosti o úplný průzkum
2019-36723,28.06.2017,zveřejnění PV
2019-36723,18.04.2018,publikace udělení patentu
2019-36723,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36779,21.12.2015,podání přihlášky
2019-36779,21.12.2015,podání žádosti o úplný průzkum
2019-36779,28.06.2017,zveřejnění PV
2019-36779,18.04.2018,publikace udělení patentu
2019-36779,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36957,21.12.2015,podání přihlášky
2019-36957,21.12.2015,podání žádosti o úplný průzkum
2019-36957,28.06.2017,zveřejnění PV
2019-36957,18.04.2018,publikace udělení patentu
2019-36957,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-37092,21.12.2015,podání přihlášky
2019-37092,21.12.2015,podání žádosti o úplný průzkum
2019-37092,28.06.2017,zveřejnění PV
2019-37092,18.04.2018,publikace udělení patentu
2019-37092,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37455,21.12.2015,podání přihlášky
2020-37455,21.12.2015,podání žádosti o úplný průzkum
2020-37455,28.06.2017,zveřejnění PV
2020-37455,18.04.2018,publikace udělení patentu
2020-37455,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37846,21.12.2015,podání přihlášky
2020-37846,21.12.2015,podání žádosti o úplný průzkum
2020-37846,28.06.2017,zveřejnění PV
2020-37846,18.04.2018,publikace udělení patentu
2020-37846,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37934,21.12.2015,podání přihlášky
2020-37934,21.12.2015,podání žádosti o úplný průzkum
2020-37934,28.06.2017,zveřejnění PV
2020-37934,18.04.2018,publikace udělení patentu
2020-37934,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37937,21.12.2015,podání přihlášky
2020-37937,21.12.2015,podání žádosti o úplný průzkum
2020-37937,28.06.2017,zveřejnění PV
2020-37937,18.04.2018,publikace udělení patentu
2020-37937,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38097,21.12.2015,podání přihlášky
2020-38097,21.12.2015,podání žádosti o úplný průzkum
2020-38097,28.06.2017,zveřejnění PV
2020-38097,18.04.2018,publikace udělení patentu
2020-38097,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38112,21.12.2015,podání přihlášky
2020-38112,21.12.2015,podání žádosti o úplný průzkum
2020-38112,28.06.2017,zveřejnění PV
2020-38112,18.04.2018,publikace udělení patentu
2020-38112,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38115,21.12.2015,podání přihlášky
2020-38115,21.12.2015,podání žádosti o úplný průzkum
2020-38115,28.06.2017,zveřejnění PV
2020-38115,18.04.2018,publikace udělení patentu
2020-38115,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38252,21.12.2015,podání přihlášky
2020-38252,21.12.2015,podání žádosti o úplný průzkum
2020-38252,28.06.2017,zveřejnění PV
2020-38252,18.04.2018,publikace udělení patentu
2020-38252,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38275,21.12.2015,podání přihlášky
2020-38275,21.12.2015,podání žádosti o úplný průzkum
2020-38275,28.06.2017,zveřejnění PV
